Region,Area,Distribution House,Territory,Point,Route/Section,Cluster Name,Cluster Type,Geo Classification,latitude,longitude,P_Sales,AP_Sales,VFM_Sales,LOWPLUS_SALES,LOW_Sales,TOTAL_Sales,Consumer_Footfall
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,1 NO PATHARGHATA,Residential,Urban,22.65110092,92.19515381,0.483001343,0.349336395,0.017196823,0.48274436,0.399943142,1.732222064,20998
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,2 NO PATHARGHATA,Residential,Urban,22.65008195,92.19542058,0.237265221,0.306870241,0.554639832,0.274466222,0.023805402,1.397046919,21576
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,"Abdul Ali School,Resarv Bazar",Commercial Hub,Urban,22.65118485,92.19613647,0.968530356,0.861927537,0.096304775,0.120148959,0.443950312,2.490861939,13944
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,"Abdul Ali School,Resarv Bazar",Transit Hub,Urban,22.65114594,92.19615173,0.379977428,0.353707915,0.104559381,0.739425701,0.814520064,2.392190489,23519
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,"Local Bus Stand, Reserve Bazar",Transit Hub,Urban,22.65057091,92.1957412,0.578830615,0.066462568,0.855464641,0.874436315,0.161241365,2.536435505,7204
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,LOCAL BUS STATION,Transit Hub,Urban,22.65023613,92.19580841,0.489465709,0.036667911,0.889258164,0.949037456,0.361617345,2.726046585,20139
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,"Nicher Rasta, Reserve Bazar",Residential,Urban,22.64891492,92.19524736,0.451781185,0.239774396,0.640820466,0.076709887,0.675822968,2.084908902,24903
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,RESERVE BAZAR MAIN ROAD,Commercial Hub,Urban,22.65262438,92.19659068,0.49327028,0.322507158,0.522451458,0.839445707,0.552525576,2.730200179,11305
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,Saikot Boding,Commercial Hub,Urban,22.65054703,92.19581604,0.501430931,0.436120847,0.296743413,0.757539451,0.568215083,2.560049724,14018
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,Saikot Boding,Transit Hub,Urban,22.65410614,92.19717789,0.818931336,0.432306898,0.211004132,0.753798025,0.221521681,2.437562072,759
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121A,"TAXI STATION, RESERVE BAZAR",Transit Hub,Urban,22.65416177,92.19703801,0.043993878,0.262930176,0.972828212,0.847634299,0.951318286,3.078704851,21088
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,"1 No. Launch Ghat,Reserve Bazar",Transit Hub,Urban,22.65507317,92.19643233,0.536592226,0.947389524,0.913571003,0.112725808,0.086649476,2.596928036,20792
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,2 No Launchghat,Transit Hub,Urban,22.6556921,92.1962204,0.534766838,0.156826062,0.306681641,0.08065068,0.13785867,1.21678389,19287
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,"Chenkimukh,Reserve Bazar",Commercial Hub,Urban,22.65471603,92.1974942,0.146965012,0.955882211,0.134117289,0.371808949,0.195911217,1.804684678,13191
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,GITASHRAM ROAD,Residential,Urban,22.65497843,92.19504801,0.711271046,0.744079772,0.029187747,0.439141398,0.50955756,2.433237523,5252
Chittagong,CTG North,Zawad Enterprise,Rangamati,Rangamati,121B,Islam Pur,Residential,Urban,22.65547244,92.19547272,0.436459709,0.105333576,0.294407095,0.676048912,0.453958807,1.966208101,3342
